id,table,question,opt1,opt2,opt3,opt4,answer,explanation
E4-15,"社員名,出張手当,運転手当,総支給額|鈴木,14600,9120,|佐藤,18250,11400,","【処理条件】<br>総支給額＝出張手当＋運転手当<br><br>セルD2に入力する数式として正しいものを選びなさい。","=B2+C2","=B2-C2","=B2*C2","=B2/C2",1,"正解：=B2+C2（出張手当と運転手当を足し算します）<br><br>【その他の選択肢】<br>・=B2-C2 は引き算のため不正解です。<br>・=B2*C2 は掛け算のため不正解です。<br>・=B2/C2 は割り算のため不正解です。"
E4-16,"商品名,定価,売上数,売上額|A,1500,20,|B,2000,15,","【処理条件】<br>売上額＝定価×売上数<br><br>セルD2に入力する数式として正しいものを選びなさい。","=B2*C2","=B2+C2","=B2/C2","=B2-C2",1,"正解：=B2*C2（定価と売上数を掛け算します）<br><br>【その他の選択肢】<br>・=B2+C2 は足し算のため不正解です。<br>・=B2/C2 は割り算のため不正解です。<br>・=B2-C2 は引き算のため不正解です。"
E4-17,"商品名,売上額,値引額,請求額|A,30000,3000,|B,30000,1500,","【処理条件】<br>請求額＝売上額－値引額<br><br>セルD2に入力する数式として正しいものを選びなさい。","=B2-C2","=B2+C2","=B2*C2","=B2/C2",1,"正解：=B2-C2（売上額から値引額を引き算します）<br><br>【その他の選択肢】<br>・=B2+C2 は足し算のため不正解です。<br>・=B2*C2 は掛け算のため不正解です。<br>・=B2/C2 は割り算のため不正解です。"
E4-18,"月,売上|4月,125|5月,130|6月,142|平均,","【処理条件】<br>指定した範囲の平均を求め、整数未満を四捨五入して表示しなさい。<br><br>セルB5に入力する関数として正しいものを選びなさい。","=ROUND(AVERAGE(B2:B4),0)","=ROUNDUP(AVERAGE(B2:B4),0)","=ROUNDDOWN(AVERAGE(B2:B4),0)","=INT(AVERAGE(B2:B4))",1,"正解：=ROUND(AVERAGE(B2:B4),0)（平均を求めた後、ROUND関数で桁数0を指定して整数未満を四捨五入します）<br><br>【その他の選択肢】<br>・=ROUNDUP は切り上げを行う関数であるため不正解です。<br>・=ROUNDDOWN は切り捨てを行う関数であるため不正解です。<br>・=INT は小数点以下を切り捨てる関数であるため不正解です。"
E4-19,"商品,単価|A,35|B,42|C,31|平均,","【処理条件】<br>指定した範囲の平均を求め、整数未満を四捨五入して表示しなさい。<br><br>セルB5に入力する関数として正しいものを選びなさい。","=ROUND(AVERAGE(B2:B4),0)","=ROUNDDOWN(AVERAGE(B2:B4),0)","=AVERAGE(B2:B4)","=ROUNDUP(AVERAGE(B2:B4),0)",1,"正解：=ROUND(AVERAGE(B2:B4),0)（平均を求め、ROUND関数で四捨五入処理を行います）<br><br>【その他の選択肢】<br>・=ROUNDDOWN は切り捨てを行う関数であるため不正解です。<br>・=AVERAGE(B2:B4) は四捨五入処理が含まれていないため不正解です。<br>・=ROUNDUP は切り上げを行う関数であるため不正解です。"
E4-20,"表の書式設定,,|,,","【処理条件】<br>表の罫線設定に関する4級の共通ルールとして正しいものを選びなさい。","外枠は太線、内側は細線にする","すべて太線にする","すべて細線にする","罫線は使用しない",1,"正解：外枠は太線、内側は細線にする（表計算4級では外枠を太線にすることが共通の指定となっています）<br><br>【その他の選択肢】<br>・すべて太線にする は指定ルールに反するため不正解です。<br>・すべて細線にする は外枠の指定を満たしていないため不正解です。<br>・罫線は使用しない は表作成の要件を満たさないため不正解です。"
E4-21,"氏名,得点|山田,80|平均,――","【処理条件】<br>出力形式内の ―― の記号で示されるセルの取り扱いとして正しいものを選びなさい。","空白のまま残す","――と入力する","0と入力する","斜線を引く",1,"正解：空白のまま残す（出力形式で ―― と示されている箇所は計算対象外であり、何も入力しません）<br><br>【その他の選択肢】<br>・――と入力する は記号をそのまま入力してしまうため不正解です。<br>・0と入力する は数値を入れてしまうため不正解です。<br>・斜線を引く は罫線処理の誤りであるため不正解です。"
E4-22,"文字と数字の配置,,|,,","【処理条件】<br>文字データ（氏名や商品名など）と数字データ（金額や数量など）の共通の配置ルールとして正しいものを選びなさい。","文字は左揃え、数字は右揃え","文字は右揃え、数字は左揃え","すべて中央揃え","すべて左揃え",1,"正解：文字は左揃え、数字は右揃え（データ型の性質に合わせた標準的な配置ルールです）<br><br>【その他の選択肢】<br>・文字は右揃え、数字は左揃え は逆の配置になっているため不正解です。<br>・すべて中央揃え は見出し等を除き標準配置ではないため不正解です。<br>・すべて左揃え は数字の配置ルールに反するため不正解です。"
E4-23,"表題の配置,,|,,","【処理条件】<br>表全体のトップにある表題および各列の見出しの共通の配置ルールとして正しいものを選びなさい。","表題は表の中央、見出しは中央揃え","表題は左揃え、見出しは右揃え","表題は右揃え、見出しは左揃え","すべて両端揃え",1,"正解：表題は表の中央、見出しは中央揃え（表全体のバランスを保つための共通ルールです）<br><br>【その他の選択肢】<br>・表題は左揃え、見出しは右揃え は指定に反するため不正解です。<br>・表題は右揃え、見出しは左揃え は指定に反するため不正解です。<br>・すべて両端揃え は標準的な配置ではないため不正解です。"
E4-24,"店舗,売上|A店,150|B店,120|C店,180|合計,","【処理条件】<br>指定した範囲の合計を求めなさい。<br><br>セルB5に入力する関数として正しいものを選びなさい。","=SUM(B2:B4)","=AVERAGE(B2:B4)","=ROUND(SUM(B2:B4),0)","=COUNT(B2:B4)",1,"正解：=SUM(B2:B4)（指定した縦の範囲の合計を求めます。合計に四捨五入は不要です）<br><br>【その他の選択肢】<br>・=AVERAGE は平均を求める関数であるため不正解です。<br>・=ROUND(SUM(B2:B4),0) は合計に対して不要な四捨五入を行っているため不正解です。<br>・=COUNT は数値の個数を数える関数であるため不正解です。"
E4-25,"社員名,乗率|大川,0.04|木山,0.06","【処理条件】<br>入力データの指示に従い、乗率を % を伴う形式で表示する設定として正しいものを選びなさい。","パーセンテージ（％表示）","通貨（￥表示）","数値（コンマ区切り）","文字列",1,"正解：パーセンテージ（％表示）（0.04などの数値を4%のように表示する設定です）<br><br>【その他の選択肢】<br>・通貨（￥表示） は金額を表示する形式であるため不正解です。<br>・数値（コンマ区切り） は％記号が付かないため不正解です。<br>・文字列 は計算に使用できなくなる恐れがあるため不正解です。"
"E4-26","商品,売上,原価,利益|A,1500,800,|B,2000,1200,","【処理条件】<br>利益＝売上－原価<br><br>セルD2に入力する数式として正しいものを選びなさい。","=B2-C2","=C2-B2","=B2+C2","=B2*C2","1","正解：=B2-C2（売上から原価を引き算します）<br><br>【その他の選択肢】<br>・=C2-B2 は原価から売上を引いており順序が逆のため不正解です。<br>・=B2+C2 は足し算のため不正解です。<br>・=B2*C2 は掛け算のため不正解です。"
"E4-27","生徒,国語,数学,合計|山田,80,90,|佐藤,75,85,","【処理条件】<br>合計＝国語＋数学<br><br>セルD2に入力する数式として正しいものを選びなさい。","=B2+C2","=B2*C2","=B2-C2","=B2/C2","1","正解：=B2+C2（国語と数学を足し算します）<br><br>【その他の選択肢】<br>・=B2*C2 は掛け算のため不正解です。<br>・=B2-C2 は引き算のため不正解です。<br>・=B2/C2 は割り算のため不正解です。"
"E4-28","品名,単価,数量,金額|ノート,120,5,|ペン,80,10,","【処理条件】<br>金額＝単価×数量<br><br>セルD2に入力する数式として正しいものを選びなさい。","=B2*C2","=B2+C2","=B2/C2","=B2-C2","1","正解：=B2*C2（単価と数量を掛け算します）<br><br>【その他の選択肢】<br>・=B2+C2 は足し算のため不正解です。<br>・=B2/C2 は割り算のため不正解です。<br>・=B2-C2 は引き算のため不正解です。"
"E4-29","部署,予算,実績,残額|営業,500,450,|総務,300,280,","【処理条件】<br>残額＝予算－実績<br><br>セルD2に入力する数式として正しいものを選びなさい。","=B2-C2","=C2-B2","=B2+C2","=B2*C2","1","正解：=B2-C2（予算から実績を引き算します）<br><br>【その他の選択肢】<br>・=C2-B2 は実績から予算を引いており順序が逆のため不正解です。<br>・=B2+C2 は足し算のため不正解です。<br>・=B2*C2 は掛け算のため不正解です。"
"E4-30","社員名,基本給,手当,支給額|鈴木,200000,15000,|田中,220000,20000,","【処理条件】<br>支給額＝基本給＋手当<br><br>セルD2に入力する数式として正しいものを選びなさい。","=B2+C2","=B2-C2","=B2*C2","=B2/C2","1","正解：=B2+C2（基本給と手当を足し算します）<br><br>【その他の選択肢】<br>・=B2-C2 は引き算のため不正解です。<br>・=B2*C2 は掛け算のため不正解です。<br>・=B2/C2 は割り算のため不正解です。"
"E4-31","商品,売価,販売数,販売額|A,1500,20,|B,2000,15,","【処理条件】<br>販売額＝売価×販売数<br><br>セルD2に入力する数式として正しいものを選びなさい。","=B2*C2","=B2+C2","=B2/C2","=B2-C2","1","正解：=B2*C2（売価と販売数を掛け算します）<br><br>【その他の選択肢】<br>・=B2+C2 は足し算のため不正解です。<br>・=B2/C2 は割り算のため不正解です。<br>・=B2-C2 は引き算のため不正解です。"
"E4-32","商品,販売額,消費税|A,30000,|B,40000,","【処理条件】<br>消費税＝販売額×10%<br><br>セルC2に入力する数式として正しいものを選びなさい。","=B2*10%","=B2+10%","=B2/10%","=B2-10%","1","正解：=B2*10%（販売額に10%を掛け算します）<br><br>【その他の選択肢】<br>・=B2+10% は足し算のため不正解です。<br>・=B2/10% は割り算のため不正解です。<br>・=B2-10% は引き算のため不正解です。"
"E4-33","店舗,4月売上,5月売上,合計|A店,150,180,|B店,120,130,","【処理条件】<br>合計＝4月売上＋5月売上<br><br>セルD2に入力する数式として正しいものを選びなさい。","=B2+C2","=B2-C2","=B2*C2","=B2/C2","1","正解：=B2+C2（4月売上と5月売気を足し算します）<br><br>【その他の選択肢】<br>・=B2-C2 は引き算のため不正解です。<br>・=B2*C2 は掛け算のため不正解です。<br>・=B2/C2 は割り算のため不正解です。"
"E4-34","商品,売上|A,150|B,120|C,180|合計,","【処理条件】<br>指定した範囲の合計を求めなさい。<br><br>セルB5に入力する関数として正しいものを選びなさい。","=SUM(B2:B4)","=AVERAGE(B2:B4)","=ROUND(SUM(B2:B4),0)","=COUNT(B2:B4)","1","正解：=SUM(B2:B4)（指定した縦の範囲の合計を求めます）<br><br>【その他の選択肢】<br>・=AVERAGE(B2:B4) は平均を求める関数であるため不正解です。<br>・=ROUND(SUM(B2:B4),0) は合計に対して不要な四捨五入を行っているため不正解です。<br>・=COUNT(B2:B4) は数値の個数を数える関数であるため不正解です。"
"E4-35","生徒,英語|山田,80|佐藤,75|伊藤,90|平均,","【処理条件】<br>指定した範囲の平均を求め、整数未満を四捨五入して表示しなさい。<br><br>セルB5に入力する関数として正しいものを選びなさい。","=ROUND(AVERAGE(B2:B4),0)","=AVERAGE(B2:B4)","=ROUNDDOWN(AVERAGE(B2:B4),0)","=ROUNDUP(AVERAGE(B2:B4),0)","1","正解：=ROUND(AVERAGE(B2:B4),0)（平均を求めた後、ROUND関数で四捨五入します）<br><br>【その他の選択肢】<br>・=AVERAGE(B2:B4) は四捨五入の処理が含まれていないため不正解です。<br>・=ROUNDDOWN は切り捨てを行う関数であるため不正解です。<br>・=ROUNDUP は切り上げを行う関数であるため不正解です。"
"E4-36","科目,点数|国語,80|数学,90|英語,85|合計,","【処理条件】<br>指定した範囲の合計を求めなさい。<br><br>セルB5に入力する関数として正しいものを選びなさい。","=SUM(B2:B4)","=AVERAGE(B2:B4)","=ROUND(SUM(B2:B4),0)","=MAX(B2:B4)","1","正解：=SUM(B2:B4)（指定した範囲の合計を求めます）<br><br>【その他の選択肢】<br>・=AVERAGE(B2:B4) は平均を求める関数であるため不正解です。<br>・=ROUND(SUM(B2:B4),0) は合計に対して不要な四捨五入を行っているため不正解です。<br>・=MAX(B2:B4) は最大値を求める関数であるため不正解です。"
"E4-37","店舗,客数|A店,150|B店,120|C店,180|平均,","【処理条件】<br>指定した範囲の平均を求め、整数未満を四捨五入して表示しなさい。<br><br>セルB5に入力する関数として正しいものを選びなさい。","=ROUND(AVERAGE(B2:B4),0)","=ROUNDDOWN(AVERAGE(B2:B4),0)","=AVERAGE(B2:B4)","=ROUNDUP(AVERAGE(B2:B4),0)","1","正解：=ROUND(AVERAGE(B2:B4),0)（平均を求め、ROUND関数で四捨五入処理を行います）<br><br>【その他の選択肢】<br>・=ROUNDDOWN は切り捨てを行う関数であるため不正解です。<br>・=AVERAGE(B2:B4) は四捨五入処理が含まれていないため不正解です。<br>・=ROUNDUP は切り上げを行う関数であるため不正解です。"
"E4-38","罫線の設定,,|,,","【処理条件】<br>表の罫線設定に関する4級の共通ルールとして正しいものを選びなさい。","外枠は太線、内側は細線にする","すべて太線にする","すべて細線にする","罫線は使用しない","1","正解：外枠は太線、内側は細線にする（表計算4級では外枠を太線にすることが共通の指定となっています）<br><br>【その他の選択肢】<br>・すべて太線にする は指定ルールに反するため不正解です。<br>・すべて細線にする は外枠の指定を満たしていないため不正解です。<br>・罫線は使用しない は表作成の要件を満たさないため不正解です。"
"E4-39","文字と数字の配置,,|,,","【処理条件】<br>文字データ（氏名や商品名など）と数字データ（金額や数量など）の共通の配置ルールとして正しいものを選びなさい。","文字は左揃え、数字は右揃え","文字は右揃え、数字は左揃え","すべて中央揃え","すべて左揃え","1","正解：文字は左揃え、数字は右揃え（データ型の性質に合わせた標準的な配置ルールです）<br><br>【その他の選択肢】<br>・文字は右揃え、数字は左揃え は逆の配置になっているため不正解です。<br>・すべて中央揃え は見出し等を除き標準配置ではないため不正解です。<br>・すべて左揃え は数字の配置ルールに反するため不正解です。"
"E4-40","表題と見出しの配置,,|,,","【処理条件】<br>表全体のトップにある表題および各列の見出しの共通の配置ルールとして正しいものを選びなさい。","表題は表の中央、見出しは中央揃え","表題は左揃え、見出しは右揃え","表題は右揃え、見出しは左揃え","すべて両端揃え","1","正解：表題は表の中央、見出しは中央揃え（表全体のバランスを保つための共通ルールです）<br><br>【その他の選択肢】<br>・表題は左揃え、見出しは右揃え は指定に反するため不正解です。<br>・表題は右揃え、見出しは左揃え は指定に反するため不正解です。<br>・すべて両端揃え は標準的な配置ではないため不正解です。"
"E4-41","空白セル,,|,,","【処理条件】<br>出力形式内の ―― の記号で示されるセルの取り扱いとして正しいものを選びなさい。","空白のまま残す","――と入力する","0と入力する","斜線を引く","1","正解：空白のまま残す（出力形式で ―― と示されている箇所は計算対象外であり、何も入力しません）<br><br>【その他の選択肢】<br>・――と入力する は記号をそのまま入力してしまうため不正解です。<br>・0と入力する は数値を入れてしまうため不正解です。<br>・斜線を引く は罫線処理の誤りであるため不正解です。"
"E4-42","金額の表示形式,,|,,","【処理条件】<br>金額などの数値を読みやすくするための一般的な表示形式を選びなさい。","3桁ごとのコンマ区切り","4桁ごとのコンマ区切り","全て漢数字で表示","間にスペースを入れる","1","正解：3桁ごとのコンマ区切り（数値は3桁ごとにコンマで区切るのが標準です）<br><br>【その他の選択肢】<br>・4桁ごとのコンマ区切り は標準的な書式設定にないため不正解です。<br>・全て漢数字で表示 は表計算の一般的な数値表示ではないため不正解です。<br>・間にスペースを入れる は計算に支障が出る可能性があるため不正解です。"
"E4-43","構成比の表示形式,,|,,","【処理条件】<br>乗率や構成比などを百分率で表すための一般的な表示形式を選びなさい。","％表示","￥表示","＄表示","分数表示","1","正解：％表示（構成比などの割合を示す際は％表示を用います）<br><br>【その他の選択肢】<br>・￥表示 は金額を示す通貨記号のため不正解です。<br>・＄表示 はドルの通貨記号のため不正解です。<br>・分数表示 はパーセンテージとは異なる表示形式のため不正解です。"
"E4-44","依頼先,加工単価,完成数,加工賃|朝日工業,138,3769,|東工作,194,3153,","【処理条件】<br>加工賃＝加工単価×完成数<br><br>セルD2に入力する数式として正しいものを選びなさい。","=B2*C2","=B2+C2","=B2/C2","=B2-C2","1","正解：=B2*C2（加工単価と完成数を掛け算します）<br><br>【その他の選択肢】<br>・=B2+C2 は足し算のため不正解です。<br>・=B2/C2 は割り算のため不正解です。<br>・=B2-C2 は引き算のため不正解です。"
"E4-45","依頼先,加工単価,完成数,割増金|朝日工業,138,3769,|東工作,194,3153,","【処理条件】<br>割増金＝加工単価×0.5×(完成数－2800)<br><br>セルD2に入力する数式として正しいものを選びなさい。","=B2*0.5*(C2-2800)","=B2*0.5*C2-2800","=B2+0.5*(C2-2800)","=B2/0.5*(C2-2800)","1","正解：=B2*0.5*(C2-2800)（括弧を用いて完成数から2800を先に引いた後、加工単価と0.5を掛け算します）<br><br>【その他の選択肢】<br>・=B2*0.5*C2-2800 は括弧がなく計算順序が変わるため不正解です。<br>・=B2+0.5*(C2-2800) は足し算が混ざっているため不正解です。<br>・=B2/0.5*(C2-2800) は割り算が混ざっているため不正解です。"
"E4-46","月,経費|4月,150|5月,180|6月,160|平均,","【処理条件】<br>指定した範囲の平均を求め、整数未満を四捨五入して表示しなさい。<br><br>セルB5に入力する関数として正しいものを選びなさい。","=ROUND(AVERAGE(B2:B4),0)","=ROUNDUP(AVERAGE(B2:B4),0)","=ROUNDDOWN(AVERAGE(B2:B4),0)","=INT(AVERAGE(B2:B4))","1","正解：=ROUND(AVERAGE(B2:B4),0)（平均を求めた後、ROUND関数で桁数0を指定して整数未満を四捨五入します）<br><br>【その他の選択肢】<br>・=ROUNDUP は切り上げを行う関数であるため不正解です。<br>・=ROUNDDOWN は切り捨てを行う関数であるため不正解です。<br>・=INT は小数点以下を切り捨てる関数であるため不正解です。"
"E4-47","社員名,基準額,期末手当|青山,389000,|森,418000,","【処理条件】<br>期末手当＝基準額×1.8<br><br>セルC2に入力する数式として正しいものを選びなさい。","=B2*1.8","=B2+1.8","=B2/1.8","=B2-1.8","1","正解：=B2*1.8（基準額に1.8を掛け算します）<br><br>【その他の選択肢】<br>・=B2+1.8 は足し算のため不正解です。<br>・=B2/1.8 は割り算のため不正解です。<br>・=B2-1.8 は引き算のため不正解です。"
"E4-48","社員名,査定A,査定B,勤勉手当|青山,85,70,|森,70,55,","【処理条件】<br>勤勉手当＝500×(査定A＋査定B)<br><br>セルD2に入力する数式として正しいものを選びなさい。","=500*(B2+C2)","=500*B2+C2","=500/(B2+C2)","=500+(B2+C2)","1","正解：=500*(B2+C2)（括弧を用いて査定Aと査定Bを先に足した後、定数500を掛け算します）<br><br>【その他の選択肢】<br>・=500*B2+C2 は括弧がなく計算順序が変わるため不正解です。<br>・=500/(B2+C2) は割り算のため不正解です。<br>・=500+(B2+C2) は足し算のため不正解です。"
"E4-49","社員名,出張日数,出張手当|鈴木,4,|佐藤,5,","【処理条件】<br>出張手当＝3650×出張日数<br><br>セルC2に入力する数式として正しいものを選びなさい。","=3650*B2","=3650+B2","=3650/B2","=3650-B2","1","正解：=3650*B2（定数3650と出張日数を掛け算します）<br><br>【その他の選択肢】<br>・=3650+B2 は足し算のため不正解です。<br>・=3650/B2 は割り算のため不正解です。<br>・=3650-B2 は引き算のため不正解です。"
"E4-50","社員名,走行距離,運転手当|鈴木,120,|佐藤,150,","【処理条件】<br>運転手当＝76×走行距離<br><br>セルC2に入力する数式として正しいものを選びなさい。","=76*B2","=76+B2","=76/B2","=76-B2","1","正解：=76*B2（定数76と走行距離を掛け算します）<br><br>【その他の選択肢】<br>・=76+B2 は足し算のため不正解です。<br>・=76/B2 は割り算のため不正解です。<br>・=76-B2 は引き算のため不正解です。"
